D1 ,12.81, D2 ,12.81, D3 ,13.00, D4 ,15.44, DH1H ,61.10, DH1T ,13.50, DH2H ,66.80, DH2T ,12.80, 2015/5/4 0:31:53,
D1 ,12.88, D2 ,12.81, D3 ,13.06, D4 ,15.38, DH1H ,61.10, DH1T ,13.60, DH2H ,66.80, DH2T ,12.80, 2015/5/4 0:31:58,
D1 ,12.88, D2 ,12.88, D3 ,13.06, D4 ,15.38, DH1H ,61.00, DH1T ,13.60, DH2H ,66.80, DH2T ,12.80, 2015/5/4 0:32:4,
D1 ,12.88, D2 ,12.88, D3 ,13.06, D4 ,15.38, DH1H ,61.10, DH1T ,13.50, DH2H ,66.80, DH2T ,12.80, 2015/5/4 0:32:9,
D1 ,13.00, D2 ,12.88, D3 ,13.06, D4 ,15.44, DH1H ,61.10, DH1T ,13.50, DH2H ,66.80, DH2T ,12.80, 2015/5/4 0:32:14,
D1 ,13.00, D2 ,12.88, D3 ,13.06, D4 ,15.38, DH1H ,61.00, DH1T ,13.50, DH2H ,66.80, DH2T ,12.80, 2015/5/4 0:32:20,
D1 ,13.00, D2 ,12.88, D3 ,13.13, D4 ,15.38, DH1H ,61.00, DH1T ,13.60, DH2H ,66.80, DH2T ,12.80, 2015/5/4 0:32:25,
D1 ,13.00, D2 ,12.88, D3 ,13.13, D4 ,15.38, DH1H ,61.00, DH1T ,13.50, DH2H ,66.70, DH2T ,12.80, 2015/5/4 0:32:31,
D1 ,13.00, D2 ,12.88, D3 ,13.13, D4 ,15.31, DH1H ,61.00, DH1T ,13.50, DH2H ,66.70, DH2T ,12.80, 2015/5/4 0:32:36,
D1 ,13.06, D2 ,12.88, D3 ,13.13, D4 ,15.31, DH1H ,61.00, DH1T ,13.50, DH2H ,66.70, DH2T ,12.80, 2015/5/4 0:32:41,
D1 ,13.06, D2 ,12.88, D3 ,13.13, D4 ,15.31, DH1H ,61.00, DH1T ,13.50, DH2H ,66.70, DH2T ,12.80, 2015/5/4 0:32:47,
D1 ,13.06, D2 ,12.88, D3 ,13.13, D4 ,15.31, DH1H ,61.00, DH1T ,13.60, DH2H ,66.70, DH2T ,12.80, 2015/5/4 0:32:52,
D1 ,13.06, D2 ,12.88, D3 ,13.13, D4 ,15.31, DH1H ,61.00, DH1T ,13.50, DH2H ,66.60, DH2T ,12.80, 2015/5/4 0:32:57,
D1 ,13.13, D2 ,12.88, D3 ,13.19, D4 ,15.31, DH1H ,61.00, DH1T ,13.50, DH2H ,66.60, DH2T ,12.80, 2015/5/4 0:33:3,
D1 ,13.13, D2 ,12.88, D3 ,13.19, D4 ,15.44, DH1H ,61.00, DH1T ,13.60, DH2H ,66.60, DH2T ,12.80, 2015/5/4 0:33:8,
D1 ,13.13, D2 ,12.88, D3 ,13.19, D4 ,15.50, DH1H ,60.90, DH1T ,13.60, DH2H ,66.60, DH2T ,12.80, 2015/5/4 0:33:13,
D1 ,13.13, D2 ,12.88, D3 ,13.19, D4 ,15.50, DH1H ,60.90, DH1T ,13.60, DH2H ,66.50, DH2T ,12.80, 2015/5/4 0:33:19,
D1 ,13.13, D2 ,12.88, D3 ,13.19, D4 ,15.69, DH1H ,60.90, DH1T ,13.60, DH2H ,66.60, DH2T ,12.90, 2015/5/4 0:33:24,
D1 ,13.19, D2 ,12.88, D3 ,13.19, D4 ,15.69, DH1H ,60.90, DH1T ,13.60, DH2H ,66.50, DH2T ,12.80, 2015/5/4 0:33:29,
D1 ,13.19, D2 ,12.88, D3 ,13.19, D4 ,15.69, DH1H ,60.90, DH1T ,13.60, DH2H ,66.50, DH2T ,12.80, 2015/5/4 0:33:35,
D1 ,13.19, D2 ,12.88, D3 ,13.19, D4 ,15.69, DH1H ,61.00, DH1T ,13.60, DH2H ,66.50, DH2T ,12.80, 2015/5/4 0:33:40,
